2025-01-23T08:39:24.988Z INFO: GET /auth 304 - ::ffff:127.0.0.1 - 130ms
2025-01-23T08:39:26.022Z INFO: GET /notifications 200 - ::ffff:127.0.0.1 - 57ms
2025-01-23T08:39:26.695Z INFO: GET /notifications 304 - ::ffff:127.0.0.1 - 18ms
2025-01-23T08:39:27.702Z INFO: GET /labtests 200 - ::ffff:127.0.0.1 - 116ms
2025-01-23T08:39:28.214Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 15ms
2025-01-23T08:39:28.807Z INFO: GET /sectors 200 - ::ffff:127.0.0.1 - 31ms
2025-01-23T07:44:46.651Z INFO: GET /clients 200 - ::ffff:127.0.0.1 - 24ms
2025-01-23T07:44:46.701Z INFO: GET /sectors 200 - ::ffff:127.0.0.1 - 6ms
2025-01-23T07:44:46.706Z INFO: GET /client-types 200 - ::ffff:127.0.0.1 - 9ms
2025-01-23T07:44:46.707Z INFO: GET /client-types 200 - ::ffff:127.0.0.1 - 8ms
2025-01-23T07:45:15.951Z INFO: GET /methods 200 - ::ffff:127.0.0.1 - 13ms
2025-01-23T07:45:15.991Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 6ms
2025-01-23T07:45:15.992Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 6ms
2025-01-23T07:45:19.416Z INFO: GET /labtests 200 - ::ffff:127.0.0.1 - 26ms
2025-01-23T07:45:19.528Z INFO: GET /sectors 200 - ::ffff:127.0.0.1 - 9ms
2025-01-23T07:46:32.710Z INFO: GET /clients 200 - ::ffff:127.0.0.1 - 20ms
2025-01-23T07:46:32.777Z INFO: GET /client-types 200 - ::ffff:127.0.0.1 - 5ms
2025-01-23T07:46:32.777Z INFO: GET /client-types 200 - ::ffff:127.0.0.1 - 4ms
2025-01-23T07:46:47.540Z INFO: GET /clients 200 - ::ffff:127.0.0.1 - 29ms
2025-01-23T07:46:54.497Z INFO: GET /clients 200 - ::ffff:127.0.0.1 - 16ms
2025-01-23T07:47:11.027Z INFO: GET /clients 200 - ::ffff:127.0.0.1 - 19ms
2025-01-23T07:47:33.787Z INFO: GET /clients 200 - ::ffff:127.0.0.1 - 20ms
2025-01-23T07:48:05.713Z INFO: GET /clients 200 - ::ffff:127.0.0.1 - 22ms
2025-01-23T07:48:16.730Z INFO: GET /clients 200 - ::ffff:127.0.0.1 - 27ms
2025-01-23T07:48:33.714Z INFO: GET /clients 200 - ::ffff:127.0.0.1 - 21ms
2025-01-23T07:48:36.849Z INFO: GET /clients 200 - ::ffff:127.0.0.1 - 15ms
2025-01-23T07:49:21.385Z INFO: GET /clients 200 - ::ffff:127.0.0.1 - 16ms
2025-01-23T07:49:52.297Z INFO: GET /clients 200 - ::ffff:127.0.0.1 - 17ms
2025-01-23T07:49:59.582Z INFO: GET /clients 200 - ::ffff:127.0.0.1 - 47ms
2025-01-23T07:51:26.076Z INFO: GET /auth 200 - ::ffff:127.0.0.1 - 6ms
2025-01-23T07:51:26.110Z INFO: GET /notifications 200 - ::ffff:127.0.0.1 - 6ms
2025-01-23T07:51:26.127Z INFO: GET /clients 200 - ::ffff:127.0.0.1 - 22ms
