2025-01-22T09:44:01.590Z INFO: GET /notifications 200 - ::ffff:127.0.0.1 - 14ms
2025-01-22T09:44:01.808Z INFO: GET /methods 200 - ::ffff:127.0.0.1 - 9ms
2025-01-22T09:44:01.917Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 6ms
2025-01-22T09:45:48.573Z INFO: GET /auth 200 - ::ffff:127.0.0.1 - 8ms
2025-01-22T09:45:48.705Z INFO: GET /notifications 200 - ::ffff:127.0.0.1 - 9ms
2025-01-22T09:45:49.020Z INFO: GET /methods 200 - ::ffff:127.0.0.1 - 10ms
2025-01-22T09:45:49.129Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 4ms
2025-01-22T09:46:18.133Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 8ms
2025-01-22T09:46:21.255Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 14ms
2025-01-22T09:46:58.172Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 13ms
2025-01-22T09:47:08.264Z INFO: GET /auth 200 - ::ffff:127.0.0.1 - 6ms
2025-01-22T09:47:08.349Z INFO: GET /notifications 200 - ::ffff:127.0.0.1 - 6ms
2025-01-22T09:47:08.620Z INFO: GET /methods 200 - ::ffff:127.0.0.1 - 16ms
2025-01-22T09:47:08.722Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 4ms
2025-01-22T09:47:20.446Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 14ms
2025-01-22T09:47:27.724Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 6ms
2025-01-22T09:47:31.684Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 9ms
2025-01-22T09:47:35.447Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 5ms
2025-01-22T09:47:43.035Z INFO: GET /auth 200 - ::ffff:127.0.0.1 - 14ms
2025-01-22T09:47:43.120Z INFO: GET /notifications 200 - ::ffff:127.0.0.1 - 5ms
2025-01-22T09:47:43.363Z INFO: GET /methods 200 - ::ffff:127.0.0.1 - 6ms
2025-01-22T09:47:43.472Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 4ms
2025-01-22T09:48:18.065Z INFO: GET /auth 200 - ::ffff:127.0.0.1 - 5ms
2025-01-22T09:48:18.226Z INFO: GET /notifications 200 - ::ffff:127.0.0.1 - 10ms
2025-01-22T09:48:18.715Z INFO: GET /methods 200 - ::ffff:127.0.0.1 - 9ms
2025-01-22T09:48:18.892Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 4ms
2025-01-22T09:48:19.662Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 17ms
2025-01-22T09:48:37.757Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 12ms
2025-01-22T09:48:41.982Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 19ms
2025-01-22T09:49:22.664Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 5ms
2025-01-22T09:49:30.284Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 27ms
2025-01-22T09:49:32.492Z INFO: GET /auth 200 - ::ffff:127.0.0.1 - 33ms
2025-01-22T09:49:32.634Z INFO: GET /notifications 200 - ::ffff:127.0.0.1 - 9ms
2025-01-22T09:49:32.996Z INFO: GET /methods 200 - ::ffff:127.0.0.1 - 8ms
2025-01-22T09:49:33.097Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 4ms
2025-01-22T09:49:42.893Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 4ms
2025-01-22T09:49:47.751Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 6ms
2025-01-22T09:49:49.864Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 7ms
2025-01-22T09:49:59.148Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 10ms
2025-01-22T09:50:31.298Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 14ms
2025-01-22T09:50:33.588Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 6ms
2025-01-22T09:50:34.615Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 16ms
2025-01-22T09:50:38.111Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 12ms
2025-01-22T09:50:45.216Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 18ms
2025-01-22T09:50:46.967Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 17ms
2025-01-22T09:50:49.954Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 14ms
2025-01-22T09:51:05.507Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 5ms
2025-01-22T09:51:06.929Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 5ms
2025-01-22T09:52:17.586Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 13ms
2025-01-22T09:52:27.418Z INFO: GET /auth 200 - ::ffff:127.0.0.1 - 4ms
2025-01-22T09:52:27.482Z INFO: GET /methods 200 - ::ffff:127.0.0.1 - 5ms
2025-01-22T09:52:27.483Z INFO: GET /notifications 200 - ::ffff:127.0.0.1 - 7ms
2025-01-22T09:52:27.580Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 9ms
2025-01-22T09:52:28.610Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 5ms
2025-01-22T09:53:36.677Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 5ms
2025-01-22T09:53:37.765Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 5ms
2025-01-22T09:53:46.198Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 5ms
2025-01-22T09:54:32.169Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 8ms
2025-01-22T09:54:37.230Z INFO: GET /methods 200 - ::ffff:127.0.0.1 - 20ms
2025-01-22T09:54:43.047Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 5ms
2025-01-22T09:56:38.098Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 46ms
2025-01-22T09:56:38.103Z INFO: GET /methods 200 - ::ffff:127.0.0.1 - 50ms
2025-01-22T09:56:41.461Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 12ms
2025-01-22T09:56:47.542Z INFO: GET /auth 200 - ::ffff:127.0.0.1 - 13ms
2025-01-22T09:56:47.640Z INFO: GET /notifications 200 - ::ffff:127.0.0.1 - 7ms
2025-01-22T09:56:47.908Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 8ms
2025-01-22T09:56:48.030Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 3ms
2025-01-22T09:56:52.817Z INFO: GET /auth 304 - ::ffff:127.0.0.1 - 24ms
2025-01-22T09:56:52.909Z INFO: GET /notifications 304 - ::ffff:127.0.0.1 - 7ms
2025-01-22T09:56:53.175Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 8ms
